Owner,Profit
GnaN6qurWGyDtoP3JwyV2mLjnjp9W7VVGijbP3FnEsDo,-12.38
7b6eRaTbxoYBxQdHm4UakXn6igUZyXiCjRhZw5ntwEqy,-0.36
Cxw3Lodm8U23qEHEt2Fv85Gsbw8x1Zq7DxzFEd49Afes,-0.59
F9LUHymnCz2rsf3F9kGXmrsyXFfKbvCqiv5ZmfVF8rud,-2.49
C9uKHaCBZuz6TzkxMsDBmbtqEfHyaVzqeYfe5pWb2aFy,-18.69
HFHVwVK8NNjGXBtXskYt17Xvn97g59zrnWXpmLKNyfxc,-80.98
5eT94r7AMZKQevu1WDrNRqGUr37PAUTF686wxpyqvffK,-3.29
67bYX3Y8SBLsPm4WuRuborZTHgTVA9dxsns4bQtGwFsd,-50.55
F6AndaPKN8VYtGdNem7HGY3fE12jqJfL2yoHoijCeEzD,-44.31
2HpvvY7TcbSdr8uNrDBUyEvbD9mcjg4ssmWQFcQcwJap,-55.72
7LPvnrYsT8RgkSMTDKC8wx2rqoNKtwAP2ziqGhtCDBHH,-38.38
24esUiovAoCfVhx1deNY4rCB8S2GSCZfSjFqb9fYsq9R,-20.89
7xgJcD9EQfsUQCodZC9ZrASyd5cDeYq422oC3SNvSEb6,-4.45
HHyqrACzTxZdDn8YjWLYPNQzBX9DFyX7U5g6TWepmxtg,-83.18
6eud5YT7Pzg9vWde9zSW2ygMeBwBb6GCbzBtCe41NN77,-7.52
29HHguuMs3YhdGqBCWyWu18WqtztTKune5TEH8Vds26Q,21.55
34FGTUrHpdUkEMAgkxm4WWNrTP5dJCXf7ApX5dR41g8W,11.16
3SKGpx1MzyrTByiHUCcXbhJpFSqAPAV6E74GhDW9dusp,78.51
3gaC8X2NF77RBPdmRsp6He8ZMp2KS2bfrfo6Q8X7RsAk,-2.98
9MY8ExqC1dxaZsMmTLw3tWeWqKoQX2RJkJETMfCnEMBV,49.39
9pmAPJPLFZhm9wnqLv9DuMn7v4xeeDDApZP8qHsHCTY5,54.64
AHLnjUmKFzGKWVvNqT8nGRkRfvUU2WAVFggD1T4xMNDs,2.11
Bj5jnEgYo1LMxD3hvwpCQrtiTXVDX6pgcWFDf65Hcycb,32.57
D9BE8aoz7CAE6N7e21Xeix8LNNJdbed946BruZutXpKC,-8.17
DzDo1mY6MaLMNU9mYCXuPpuCKbj3sbp9o42gkTDPvhu,5.10
FmvgFDaA1g5wLfFscUdmxfZT4BSpWWfayGwferS9PPZc,11.94
HLguf9KTcjBNDHKzD3geoTRxkoZtw1BSs6YY3YT3Ncvu,34.64
G3i53Yh3w5CAZA29xph2YvcDA2MLNvMuYjWLmLPhPieN,27.70
xUwUxxg5eLEVfowp1ki2we8JWJjukkriVLY39c55nqa,-0.32
AZ1wHjhG1v2r87HGKNPcH3sAouAPRVE7W3jpSMzP9Sje,0.50
Dr5awfLtvDmoKhyL83huJpAPVfT7L3uMzwNbwQbQYMPM,-0.17
